cell_size,PanKeratin,SUN2,Background,Fe,Vimentin,BetaTubulin,Ta,ECadherin,CD4,Au,AR,GLUT1,CD3,SMA,Ca,HER2,LaminAC,P,CD8,Na,C,CD45,CD9,BetaCatenin,Ki67,CD20,NaK ATPase,HH3,ER,Membrane,Si,HLA_Class_1,label,area,eccentricity,major_axis_length,minor_axis_length,perimeter
236.0,4.65485767154092,4.345513169590505,5.363936574490627,0.0,3.7470650622189745,5.2682341157631,9.056754517959627,3.7470650622189745,3.332269281914186,9.369008684267941,3.8602809619402523,3.9457334163149635,3.168461379319811,5.054882067828967,9.213302093411452,3.3909683429833453,3.823946769864232,4.535080981836916,3.823946769864232,9.13868052051122,6.412349612665945,3.619393635649422,3.548884917433012,3.805272799330783,3.362048413991025,3.014948034319892,2.7827594783457683,7.121362625596826,3.3015784648540434,7.755295424395531,8.345258241551548,3.2372264762602407,54,236,0.36677971023187017,18.04902719505003,16.791151183778105,56.384776310850235
1545.0,4.8492559084663425,4.306605599969697,4.4202712355884275,0.0,3.8882029699247123,5.7593914224017935,6.859218612084577,3.784999620681518,2.7471485344575,7.213811745151841,3.7055358683801063,4.370794948777913,2.1732670247600714,4.680657809978308,6.535144735663238,3.8667728059357733,1.2240227622824873,4.786481999111832,2.8189175041585957,6.691225663699949,7.154919318936845,3.1776330862677122,3.5361166995615263,3.874862984929622,3.31814309452768,2.2964466347487793,3.0515269105188234,7.452860712675421,2.8265851721339943,8.164007380347146,4.897750586095681,3.110817740917795,55,1545,0.6827890441170134,52.066534240193604,38.04062095196829,153.29646455628165
660.0,4.692265580166475,3.830429066423455,4.906451225779632,0.0,3.2848176389328123,5.8827391151539175,4.836825713457082,4.315644318636407,3.112125396419566,5.939380422617438,3.4514737551828065,4.400939372600072,2.7224283472535262,4.486376967047899,6.030108124980237,3.976912903816136,3.830429066423455,4.846393971782883,3.250232658045026,6.6800574879303225,7.228960569495573,3.4798561865257716,3.4123349429267824,3.856380723918023,3.489141095802269,2.3978952727983707,2.869742152435594,6.84555858308994,3.098574272287781,8.193224356073372,4.834419277000028,3.339933758393012,64,660,0.732545545767832,36.53101625876398,24.867321072970096,110.9116882454314
477.0,5.0001431767546825,4.40394999238405,5.555684841151298,0.0,4.100888378836467,5.022488491644929,8.781587348212033,4.1214965926300655,3.5974596646140427,9.460340175977686,3.653260825510884,4.242995024319861,3.4359031095488457,4.603171954817517,9.42220038360247,4.079846756950442,4.1679932394002615,4.793829927843639,3.695765708398264,9.444044323987388,6.740168811797043,3.8317510115448914,3.8407924266936257,4.072733387574033,3.7365393994218095,3.1031116658072566,3.766065602946903,6.959636304687959,3.7365393994218095,8.559794770410251,8.822702847427236,3.642346576242635,72,477,0.6411391095061979,28.336210832896427,21.745907582328982,82.08326112068522
1323.0,5.398925047069776,4.632847620012529,4.688606194527252,0.0,3.496074756681029,6.063983955187607,7.142113740154496,3.9545720558337245,2.9883976923342668,7.7859918344841885,3.694774376668574,4.545319443606146,2.626762481947198,4.534022464335192,6.270896268923682,4.155911142721909,0.9728845826032412,4.689995813913825,3.155901725479732,6.612741560078811,7.145098991497159,3.3483379389292547,3.8636735498227703,4.071956082753315,3.549565674497951,2.593600312894202,3.724370652281079,7.08401231919192,3.054527747916218,8.584957830594355,4.901936903891019,3.384808554784142,82,1323,0.8127762130810013,54.848670903698526,31.95352079140942,150.64570696119915
517.0,3.9182041061207413,4.338711926702965,4.747443216945322,0.0,5.61555271756423,4.855470079491321,6.8446868322043075,3.5509081094332258,3.1464700810162056,7.6132058190531176,3.1464700810162056,3.6460754360955145,2.7677982119755278,5.9778388210021065,8.16740256281,1.6526053911585914,4.744082376693811,4.947478789270793,3.1464700810162056,8.36290071201643,7.209363693756707,3.314277316376061,3.1464700810162056,3.0039803371405873,3.2414597439668587,2.1981676730730775,0.19223737916677397,7.232275150880464,2.924363237560229,5.621170561766503,7.522052112629333,3.0229368242903556,83,517,0.5800012113346136,28.519335391167715,23.23229584539144,84.66904755831214
993.0,4.461505206467036,4.249992674330558,4.836999973344902,0.0,3.9926385781955127,5.870095414365524,7.6714653123780945,3.9194418068191963,3.1867859567035786,8.139143473090854,3.6293995201958777,4.17547522556034,2.6651212399273847,4.843368625513303,7.771999973768641,4.02552663301039,3.005212945360463,4.964307892737535,2.9541839080942367,7.84038724728595,7.327816699181172,3.3115717184406503,3.574522358040835,3.9033253402940056,3.551700938064522,2.1718600231742755,3.296796552297008,7.326889977204318,2.9541839080942367,8.350435740411351,6.7277285961561795,3.2511181734082997,88,993,0.7321545146942966,43.67358627255012,29.747764583625063,124.32590180780451
408.0,4.8085776889566425,3.8201305038403586,4.595419863946655,0.0,2.386582167542203,6.2155920024530165,6.213631233197192,3.706494346763107,2.816991430825444,6.635639446356767,3.295756282589192,4.560159176532059,2.3408785202611346,4.154830800212408,6.012089831757804,3.6697264434950747,2.62452109239947,4.468965063617579,2.845778295960285,6.340639028129022,7.050922230976187,3.027070688978816,3.3990405937383983,3.605277325982602,4.049527998921016,1.9466941676515912,3.2588203477987148,6.6919393075294735,2.6592580857075734,8.109225043541635,4.393148490511447,3.0504934770653156,90,408,0.4276918272277568,26.87140340040377,24.289722844197705,95.87615433949868
160.0,4.115230298511922,5.3291125321912345,5.01067973557803,0.0,5.192987713658941,3.6577960644471164,4.932725692415495,3.6577960644471164,2.9340261367098055,5.616784320544798,3.4023066454805946,3.519857178418814,2.99822295029797,5.72032252623252,7.033286779403006,0.0,4.700563000177195,5.247051771840578,3.556163390245946,7.173958906946717,7.604022835323027,3.6895038689889055,3.482185493228718,3.1154847906446985,2.9340261367098055,3.1693506876412627,0.0,7.492063990304324,3.220471998464453,0.0,5.802882490739394,3.4430418068879574,92,160,0.5600035723779389,15.67273983572687,12.984711242134729,44.62741699796952
873.0,4.816162958119381,4.164977691936712,4.722904961597524,0.0,4.040120201406915,5.931884514871598,7.48851751378373,3.9066835404592237,2.911372304672215,7.8106231548776535,3.6450581047271786,4.2270384369388125,2.6259774060116996,4.801211399075036,6.776742061747469,4.139763606370441,1.811541506934894,4.944797447410365,3.0395342530630765,6.9750828796969735,7.234195882277277,3.5378628411935598,3.564136837861348,4.075746241919648,3.4546344821460484,2.068831186304996,3.9339365032850595,7.512077803845781,2.8472400825556066,8.66276523589777,5.163672568382835,3.371748111744845,94,873,0.7430453498446321,42.200500184716695,28.242307844541312,127.94112549695427
