,cell_size,PanKeratin,SUN2,Background,Fe,Vimentin,BetaTubulin,Ta,ECadherin,CD4,Au,AR,GLUT1,CD3,SMA,Ca,HER2,LaminAC,P,CD8,Na,C,CD45,CD9,BetaCatenin,Ki67,CD20,NaK ATPase,HH3,ER,Membrane,Si,HLA_Class_1,label,area,eccentricity,major_axis_length,minor_axis_length,perimeter,point
113,543.0,3.928848570092368,4.188823829128729,4.448082340679731,0.0,4.031960707882792,5.294652509693749,6.569072620763955,3.5129565040212154,3.01096914160396,6.8617799284641405,2.896084367020312,4.018811011934542,2.669581139208407,4.850594039163108,6.5803779386823305,3.1773354369669438,0.0,4.592297640325373,3.01096914160396,6.628267212515526,6.908124534554949,3.4090217515404557,3.2368592193263512,3.971376636391772,3.097593911029785,2.191820247247489,2.7663711327048857,7.066473983524345,2.4740659048918925,7.615165149432082,4.691651621360808,3.2930478551312854,257,543,0.6299411101008816,30.98841075726125,24.066929270416374,95.94112549695429,Point8_normalized_transformed
114,978.0,5.463815098953117,4.781065228114585,5.424942397851426,0.0,4.363612373975903,5.624377453414866,6.4548665804293766,4.627511429615404,3.5256621213482435,7.330654868254694,3.9699920338249353,4.123496793418276,3.383772174892129,5.072140917134378,7.28347117261006,3.696627004887653,4.419305890563903,4.965364241069478,4.007849368066031,6.282212903227579,7.167915412477466,3.74608407824938,3.868565228911263,4.0335223204825965,4.448425957365544,3.250592391084392,3.701684110234363,7.585861741338032,3.606501759491092,8.323519153061435,5.016795422314099,3.5726518654865087,258,978,0.8047591717612822,47.300286774607954,28.07751857672828,135.05382386916241,Point8_normalized_transformed
115,1058.0,4.916260571721488,4.65504055967939,5.413386009549977,0.0,4.297945978501431,4.992238911196874,8.673113869799177,4.044915460128443,3.422842692562875,9.24786924670567,3.84806518649876,4.282407460375347,3.397895885158765,5.071188088036205,9.025967577923996,3.3053418718345062,3.2185858876390463,4.921784857829094,3.741915783189543,8.928112853236442,6.656334477757006,3.750834470906188,3.741915783189543,3.969328106392208,4.872380180522889,3.0725265662852257,3.613024067772941,7.451639335593704,3.5714145420830694,8.09495309753505,8.192567409317808,3.5224398020881287,259,1058,0.7011705489334905,45.460587676837385,32.413107672657965,147.97665940288704,Point8_normalized_transformed
116,732.0,4.853200515357361,4.730893143393197,5.5355841398740075,0.0,5.01067973557803,5.696481102427755,7.32858487990996,4.563431787960608,3.4992410825686773,7.595972545911405,3.759325669551258,4.876381092043818,3.2888962159304524,6.33687722048411,7.97001353542445,4.7114308955979824,2.816991430825444,4.140869290332436,3.5396614578015058,8.121840800501285,7.327687617277096,3.8903404733274813,4.566276123388927,4.549087503686177,3.64486202458409,3.022397943978004,4.333920679261875,7.200955445003058,3.439764458882255,9.157924802565796,7.034605335801031,3.867759947148034,260,732,0.5310498530193216,34.164359809884154,28.94884835772048,110.28427124746192,Point8_normalized_transformed
117,424.0,5.440965195766271,3.883736270897609,4.832143733748013,0.0,2.4745744261971434,5.954229739402559,6.998338151887929,4.077185166191113,2.778809845597656,7.7068761970639725,3.4392688324309915,4.3176658439254005,2.6872154390346643,4.131643677224713,6.064229304932331,4.052906781207828,2.096998083349821,4.390401134388159,3.1623998481092856,6.358466374289414,7.020494965885684,3.079342580018308,3.618751128124091,4.2186138842863325,3.5398856727622117,2.392467883409648,3.8441620118008033,6.592658639864423,2.778809845597656,8.578572280937259,4.828377731159175,3.1422708619573023,261,424,0.6121123046763493,26.42749284775612,20.89809080302527,76.52691193458121,Point8_normalized_transformed
118,330.0,3.9304271296479536,4.714240874105392,5.155249805269415,0.0,5.27690312962181,3.5943246678773617,9.069265460063887,3.74827510389522,3.2384341369484884,9.215116835231903,3.5074566847442554,3.6270665925128234,3.164571512239849,6.667035514807727,9.606999145610962,0.0,4.892908503694372,4.640981361160835,3.3921769889815314,9.434162487288207,6.3672020690015545,3.7901946460194496,3.3921769889815314,3.658771806590861,3.3716052746912,2.9034334593546207,1.2031384854969425,7.030777875381994,3.830429066423455,5.040530123128834,8.687421747835806,3.4704844257491247,262,330,0.603077499148836,22.95903768412577,18.31402486873211,65.11269837220809,Point8_normalized_transformed
119,767.0,4.4520241630687085,4.3697235259281975,4.888335343797347,0.0,3.9292166773194053,5.728263045975562,6.896744129136781,3.924079270838985,3.1005112362003913,7.927924463417175,3.6803470452397127,4.212877800574956,2.6679905642393686,4.722017818718663,7.633734573042499,3.6401264356769385,3.0887252345118497,4.810754948849088,2.907313857874973,7.909517876519378,7.275941769451378,3.4850842386936565,3.4275697700675605,4.0497618414078165,3.5470100917686964,2.5932632827330075,3.7562433633339514,7.273593292620803,3.1901261911459704,8.324228554223525,6.799058558381986,3.3299415174331557,263,767,0.8196509762720904,42.5664868192352,24.384775010509895,114.90559159102156,Point8_normalized_transformed
120,1502.0,5.2322971358637975,4.74425494501974,5.661177064218798,0.0,4.0821235078181175,5.867595756171278,6.954324624800456,4.755774085201304,3.6157000850235206,7.583237618677738,4.061703338343797,4.360654568985846,3.533693440442875,4.9545443343306435,6.665625970168066,3.867524249500292,4.237801860822558,4.876464301276896,3.973080032760912,6.5693657258365,7.269676577932782,3.900376107555492,3.889544862682963,4.052492198031429,3.973080032760912,3.2164821229906053,3.674767087057783,7.311710594063013,3.6948093737937433,8.400225453126055,5.308279020719018,3.564296528607972,265,1502,0.8055230292737444,59.27447774526214,35.12394939978418,163.84062043356596,Point8_normalized_transformed
121,1160.0,4.942924083084323,4.584367754850325,5.552707271813621,0.0,4.053584491698175,5.315435958756064,8.606529483435208,3.942961725777845,3.6765049524392484,9.224634287063823,3.807155951533821,4.351555747288553,3.516025150453824,5.011828398800237,9.290966472335509,3.743960255603112,3.985490669824466,4.780352351836158,3.702336185167874,9.258637813014834,6.723294948690505,3.822350596276644,3.9790642482941685,4.185173119744487,3.7839225660915625,3.1492575873780377,3.791727097513183,7.2214332655404965,3.5900115536103328,8.392567886186225,8.567132156987459,3.6409928390418185,266,1160,0.5775291980112971,43.100700677238706,35.18612029334214,140.46803743153544,Point8_normalized_transformed
122,1204.0,4.6347264832243225,4.137412813103958,4.349265219521682,0.0,3.6566180727201822,6.152242299083422,6.5602946394862585,3.6566180727201822,2.686896845525628,7.275301631689131,3.28771229231508,4.419665769190813,2.432167336461669,4.320981421788782,6.3562490918135826,3.8990554734857694,0.8189573132235878,4.686574848886207,2.82356710590504,6.398868531273942,7.091184335659476,3.155490532943688,3.359413020814656,3.742808262304833,3.4100117194233657,2.131126481200567,3.1483990560565545,7.152589416008801,2.664124409122045,8.214380690048516,4.610240194731973,3.0745847284953984,267,1204,0.7322854749963768,47.79958635846551,32.551412431729844,137.88225099390857,Point8_normalized_transformed
